time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.515086409394523e-07,1.1277658708577872e-06,10.003570361186174,0.0006147596342067629,0.0004641704634789079,0.0,-6.082194077393058e-05,8.055453128274955e-05,0.11900628516265871,0.020492270895305895,0.015472664978389714,0.0,442.20732789282687,443.479747787939,442.09143424834264,443.776326829741
0.12000000000000001,-2.533905401949164e-05,3.3253104575718976e-05,10.022546520114654,0.0028041213622973515,0.0022080895096312503,0.0,-0.0009697241219131706,0.001262427590369544,0.5134395062678818,0.052483986457961665,0.0426565841052005,0.0,520.5640508463266,522.4625090813919,521.523051916828,523.7526677410356
0.18,-0.00015083111383368852,0.00019266266736044207,10.06076807652799,0.005370651791137604,0.00479701250153397,0.0,-0.0035322265456044864,0.0043924931933317,0.7604784378029431,0.03306972473123422,0.043640724451530256,0.0,482.1821963156912,482.2573898083479,481.73748379984795,480.26854679725193
0.23999999999999996,-0.0004714050980949503,0.0005762047321878873,10.1095162649186,0.007783495334380497,0.006799864988024318,0.0,-0.007379700062604254,0.00862466982530794,0.8643851995006173,0.047356831520757675,0.02312318289447765,0.0,439.9690917166686,438.2679815275009,437.79121380846817,438.97893698554276
0.3,-0.0010696409989445976,0.0012786900629922211,10.166005993303655,0.010534930036192769,0.007246933072397432,0.0,-0.012644298537283933,0.015096446227840633,1.0184775057859694,0.044358084707438454,-0.00822064721968766,0.0,456.16339827077564,453.6538225315194,454.26179050636307,454.0225152763612
0.36000000000000004,-0.001989130178180825,0.0024324424198665416,10.231878817883905,0.013554415072913883,0.0069459456924914065,0.0,-0.017963865187377675,0.023681293645982184,1.177129663257253,0.05628962961816675,-0.0018121517212119896,0.0,456.3287947105485,456.8401090993274,455.3411504164724,456.295925988168
0.4200000000000001,-0.003229562443611453,0.004186528899806458,10.308268071290733,0.01748143341810593,0.007023910895786578,0.0,-0.023384252840137103,0.03521799242551725,1.3689621803657783,0.07460723267218125,0.004411230047153474,0.0,465.4922725294487,465.97896533896096,466.6133798334387,468.04364768921624
0.48000000000000015,-0.004794443178901659,0.00671479485994224,10.395478458048892,0.021422488854812016,0.007805988564543398,0.0,-0.028845343755604425,0.049515775389343784,1.5378291859433582,0.05676538660701793,0.02165805833851835,0.0,459.8287518570456,461.192751514004,460.42121439584554,459.0110250414733
0.5400000000000001,-0.006654879866044534,0.010044600669349193,10.486358307511233,0.024862698215793344,0.008227337355434017,0.0,-0.03322711702324794,0.06175454985711689,1.491553799143084,0.0579080428361977,-0.007612819019445528,0.0,391.78407792465975,389.0532328418474,390.0272580069421,390.13669727542987
0.6000000000000002,-0.008839910266785494,0.014355573217219355,10.581909446468627,0.028681554000025145,0.006893009497678015,0.0,-0.03948309250236789,0.08237086443941952,1.6931963549478541,0.06938483300048479,-0.03686401747213788,0.0,471.8771146988237,469.6138619749293,469.3601790866713,470.25247879712833
0.6600000000000003,-0.011354642135975155,0.019953061621119417,10.68810017349434,0.03262960091194689,0.005378370989583381,0.0,-0.04414786037637247,0.10464654654095029,1.8462466883171695,0.062218333753473035,-0.013625640329893014,0.0,455.5268522329546,457.38095447110675,456.4276800870633,455.8586524150932
0.7200000000000003,-0.014134161586605078,0.02706472197214641,10.806189000898794,0.03662821343089995,0.004557296214929174,0.0,-0.048399626309417076,0.13287646957268015,2.089617624359684,0.07106685229984112,-0.01374351769544581,0.0,483.57934551109156,483.5705978167687,483.2405486032181,483.9098039046486
0.7800000000000004,-0.01714169031079029,0.03594391826576982,10.93809276760331,0.041563301045208334,0.0022409331111576947,0.0,-0.05163249598136536,0.16364302906866118,2.3067391868236964,0.09343007843443844,-0.0634647639753649,0.0,478.21843788356955,474.41575384145926,476.52573455282743,478.236569808883
0.8400000000000004,-0.02027722819439063,0.046752775938880727,11.082095482816518,0.046743276716137316,6.282478896001883,0.0,-0.05251357674576012,0.19724582722699907,2.4929347870878327,0.0792401590124332,-0.034784945124998155,0.0,467.4720937497506,469.6996815000224,469.2431783090831,468.1465078807408
0.9000000000000005,-0.023409542820643035,0.059479931777743786,11.232724656529715,0.0520694904949055,6.281534119567414,0.0,-0.051774462594213776,0.2274627180864895,2.5279336858753103,0.09829459291020398,0.00329057850774862,0.0,420.7226925925448,424.00629240774856,421.20823457831557,422.85933262815894
0.9600000000000005,-0.026482608726299525,0.07419995372045698,11.386891686791351,0.0582534253339535,6.2811872341573896,0.0,-0.050644902732970336,0.26379930914209876,2.6107431947940998,0.10783312103315164,-0.014853902413721039,0.0,438.33344729253315,436.82304927508073,437.9185643784309,438.7203350677693
1.0200000000000005,-0.02947389933927921,0.09134493384942365,11.548007173054552,0.0649470532634373,6.280514407403157,0.0,-0.048984014301483456,0.3084006737149046,2.7593742589966546,0.11528486526862002,-0.007573706884881072,0.0,459.37757478719544,459.95461421422533,457.8804593339763,458.48324911074906
1.0800000000000005,-0.03236165424699251,0.11107323941858384,11.71438227854989,0.07181170390171321,6.279800013921296,0.0,-0.047217324031805334,0.3498310476792276,2.786345827481706,0.11353754776595855,-0.01623939395987412,0.0,421.1824367931303,420.43240821732763,421.6144817151267,421.47601410821653
1.1400000000000006,-0.035108501021217604,0.13382227579738643,11.887963104461214,0.07816060489527743,6.278674128403459,0.0,-0.04421829845707447,0.4092001325328651,2.9990772074980803,0.09809844681544713,-0.021289984904758683,0.0,479.450450215261,479.06666799427296,479.54978757563407,478.3850505176414
